"NAME","ELEMENT.x","Axis_0.x","COLOUR.x","DEPTH.x","branch_length_observed_tree","LENGTHTOPARENT.x","NODE_NUMBER.x","PARENTNODE.x","TERMINAL_NODE_FIRST.x","TERMINAL_NODE_LAST.x","TOTAL_LENGTH.x","TREENAME.x","total_length_gui","X_y.x","ELEMENT.y","Axis_0.y","COLOUR.y","DEPTH.y","branch_length_comparison_tree","LENGTHTOPARENT.y","NODE_NUMBER.y","PARENTNODE.y","TERMINAL_NODE_FIRST.y","TERMINAL_NODE_LAST.y","TOTAL_LENGTH.y","TREENAME.y","X_y.y","rank_comparison_tree","sorted_asc_bl_comparison_tree","rwibald_score","rwibald_score_rank","bl_comparison_tree_rwibald_elbow_key","rwibald_type","range_cell_count","non_range_weighted_branch_length_observed_tree","non_range_weighted_branch_length_comparison_tree","diff_non_range_weighted_observed_to_comparison_bl","rank_BaLD"
"132___",275,275,NA,13,0.000127865799638041,0.000127865799638041,275,273,139,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0535803998567395,151.0125,275,275,NA,13,7.86200197634538e-05,7.86200197634538e-05,275,273,139,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",151.0125,609,405,4.92457798745872e-05,772,"not_key","other",115,0.0147045669583747,0.00904130227279719,0.00566326468557753,812
"133___",273,273,NA,12,3.95402548707369e-05,3.95402548707369e-05,273,271,138,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0489146497819925,149.35625,273,273,NA,12,7.66212057016711e-05,7.66212057016711e-05,273,271,138,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",149.35625,620,394,-3.70809508309342e-05,401,"not_key","other",118,0.00466575007474695,0.00904130227279719,-0.00437555219805023,506
"134___",271,271,NA,11,1.79423629652639e-06,1.79423629652639e-06,271,270,137,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0484947984886053,148.028125,271,271,NA,11,3.86380439008427e-05,3.86380439008427e-05,271,270,137,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",148.028125,790,226,-3.68438076043163e-05,405,"not_key","other",234,0.000419851293387175,0.00904130227279719,-0.00862145097941002,92
"135___",292,292,NA,14,4.26478684085143e-05,4.26478684085143e-05,292,291,147,148,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0958532130480664,157.2,292,292,NA,14,4.3467799388448e-05,4.3467799388448e-05,292,291,147,148,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",157.2,760,254,-8.19930979933702e-07,679,"not_key","other",208,0.00887075662897097,0.00904130227279719,-0.00017054564382621,679
"136___",295,295,NA,14,4.44358467450314e-05,4.44358467450314e-05,295,291,149,150,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0958532130480664,159.2,295,295,NA,14,6.55166831362115e-05,6.55166831362115e-05,295,291,149,150,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",159.2,658,352,-2.10808363911801e-05,499,"not_key","other",138,0.00613214685081433,0.00904130227279719,-0.00290915542198285,581
"137___",291,291,NA,13,5.23870671551124e-05,5.23870671551124e-05,291,289,147,150,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0789845774241202,158.2,291,291,NA,13,2.80785784869478e-05,2.80785784869478e-05,291,289,147,150,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",158.2,847,169,2.43084886681646e-05,738,"not_key","other",322,0.0168686356239462,0.00904130227279719,0.007827333351149,856
"138___",289,289,NA,12,7.41846353787992e-05,7.41846353787992e-05,289,288,146,150,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0525748472292677,156.95,289,289,NA,12,2.53969164966213e-05,2.53969164966213e-05,289,288,146,150,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",156.95,864,152,4.87877188821779e-05,770,"not_key","other",356,0.0264097301948525,0.00904130227279718,0.0173684279220553,942
"139___",305,305,NA,16,6.52190025192311e-05,6.52190025192311e-05,305,303,154,155,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0760024899163052,164.2,305,305,NA,16,0.000475858014357747,0.000475858014357747,305,303,154,155,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",164.2,246,765,-0.000410639011838516,91,"not_key","other",19,0.00123916104786539,0.00904130227279719,-0.0078021412249318,188
"14___",12,12,NA,3,4.36894268221139e-06,4.36894268221139e-06,12,2,8,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0289360562438984,21.496875,12,12,NA,3,1.14591917272461e-05,1.14591917272461e-05,12,2,8,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",21.496875,949,67,-7.09024904503471e-06,607,"not_key","other",789,0.00344709577626479,0.00904130227279717,-0.00559420649653239,407
"140___",303,303,NA,15,0.000253988972086571,0.000253988972086571,303,302,153,155,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0699067545862275,163.45,303,303,NA,15,0.000376720928033216,0.000376720928033216,303,302,153,155,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",163.45,283,729,-0.000122731955946645,217,"not_key","other",24,0.0060957353300777,0.00904130227279719,-0.00294556694271948,575
"141___",314,314,NA,18,0.000530858962846654,0.000530858962846654,314,312,159,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0845689319897339,169.2,314,314,NA,18,0.000347742395107584,0.000347742395107584,314,312,159,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",169.2,298,713,0.00018311656773907,848,"not_key","other",26,0.013802333034013,0.00904130227279719,0.00476103076121582,797
"142___",312,312,NA,17,0.000435248416966648,0.000435248416966648,312,310,158,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0710762310637678,168.45,312,312,NA,17,0.000291654912025716,0.000291654912025716,312,310,158,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",168.45,333,680,0.000143593504940932,833,"not_key","other",31,0.0134927009259661,0.0090413022727972,0.00445139865316889,791
"143___",310,310,NA,16,2.65627572779336e-05,2.65627572779336e-05,310,308,157,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0699074697435387,167.575,310,310,NA,16,0.000205484142563572,0.000205484142563572,310,308,157,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",167.575,402,611,-0.000178921385285638,174,"not_key","other",44,0.00116876132022908,0.00904130227279717,-0.00787254095256809,183
"144___",308,308,NA,15,1.19192885214558e-08,1.19192885214558e-08,308,302,156,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0699067545862275,166.6375,308,308,NA,15,0.000150688371213286,0.000150688371213286,308,302,156,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",166.6375,459,557,-0.000150676451924765,193,"not_key","other",60,7.15157311287348e-07,0.00904130227279716,-0.00904058711548587,70
"145___",302,302,NA,14,5.94728079981847e-05,5.94728079981847e-05,302,300,153,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.06556523960236,165.04375,302,302,NA,14,0.000123853455791742,0.000123853455791742,302,300,153,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",165.04375,488,526,-6.43806477935573e-05,303,"not_key","other",73,0.00434151498386748,0.00904130227279717,-0.00469978728892968,481
"146___",300,300,NA,13,3.87405145640284e-05,3.87405145640284e-05,300,298,152,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0626984415246219,163.371875,300,300,NA,13,0.000122179760443205,0.000122179760443205,300,298,152,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",163.371875,491,525,-8.34392458791766e-05,261,"not_key","other",74,0.0028667980777381,0.00904130227279717,-0.00617450419505907,354
"147___",298,298,NA,12,9.12035522103982e-05,9.12035522103982e-05,298,288,151,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0525748472292677,162.0359375,298,298,NA,12,8.14531736288035e-05,8.14531736288035e-05,298,288,151,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",162.0359375,597,418,9.75037858159471e-06,712,"not_key","other",111,0.0101235942953542,0.00904130227279719,0.00108229202255701,720
"148___",288,288,NA,11,8.7367210720821e-06,8.7367210720821e-06,288,270,146,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0484947984886053,159.49296875,288,288,NA,11,1.93603903057756e-05,1.93603903057756e-05,288,270,146,160,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",159.49296875,905,111,-1.06236692336935e-05,567,"not_key","other",467,0.00408004874066234,0.0090413022727972,-0.00496125353213486,464
