"NAME","ELEMENT.x","Axis_0.x","COLOUR.x","DEPTH.x","branch_length_observed_tree","LENGTHTOPARENT.x","NODE_NUMBER.x","PARENTNODE.x","TERMINAL_NODE_FIRST.x","TERMINAL_NODE_LAST.x","TOTAL_LENGTH.x","TREENAME.x","total_length_gui","X_y.x","ELEMENT.y","Axis_0.y","COLOUR.y","DEPTH.y","branch_length_comparison_tree","LENGTHTOPARENT.y","NODE_NUMBER.y","PARENTNODE.y","TERMINAL_NODE_FIRST.y","TERMINAL_NODE_LAST.y","TOTAL_LENGTH.y","TREENAME.y","X_y.y","rank_comparison_tree","sorted_asc_bl_comparison_tree","rwibald_score","rwibald_score_rank","bl_comparison_tree_rwibald_elbow_key","rwibald_type"
"11___",26,26,NA,6,2.89611774264025e-05,2.89611774264025e-05,26,24,15,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0437114736141344,25.575,26,26,NA,6,8.77796337164775e-05,8.77796337164775e-05,26,24,15,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",25.575,575,438,-5.8818456290075e-05,318,"not_key",NA
"110___",239,239,NA,12,9.02948032223132e-06,9.02948032223132e-06,239,238,121,122,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0570952946565334,131.2,239,239,NA,12,1.89148583112912e-05,1.89148583112912e-05,239,238,121,122,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",131.2,907,108,-9.88537798905988e-06,572,"not_key",NA
"111___",243,243,NA,13,0.00134308293647173,0.00134308293647173,243,242,123,124,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0594071538885539,133.2,243,243,NA,13,0.000753441856066432,0.000753441856066432,243,242,123,124,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",133.2,159,848,0.000589641080405298,911,"not_key",NA
"112___",255,255,NA,18,4.34211265641221e-05,4.34211265641221e-05,255,254,129,130,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0747551440179283,139.2,255,255,NA,18,0.00016145182629995,0.00016145182629995,255,254,129,130,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",139.2,445,571,-0.000118030699735828,222,"not_key",NA
"113___",258,258,NA,18,0.000120803307405499,0.000120803307405499,258,254,131,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0747551440179283,141.2,258,258,NA,18,0.000105131421776711,0.000105131421776711,258,254,131,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",141.2,529,485,1.5671885628788e-05,726,"not_key",NA
"114___",254,254,NA,17,6.94327486713696e-09,6.94327486713696e-09,254,252,129,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.074754428860617,140.2,254,254,NA,17,8.77796337164775e-05,8.77796337164775e-05,254,252,129,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",140.2,575,437,-8.77726904416104e-05,252,"not_key",NA
"115___",252,252,NA,16,9.88597543445835e-06,9.88597543445835e-06,252,250,128,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0736175416856543,138.95,252,252,NA,16,7.86200197634538e-05,7.86200197634538e-05,252,250,128,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",138.95,609,404,-6.87340443289955e-05,295,"not_key",NA
"116___",250,250,NA,15,1.3469529727109e-05,1.3469529727109e-05,250,248,127,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0719203809400386,137.825,250,250,NA,15,7.17563672444221e-05,7.17563672444221e-05,250,248,127,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",137.825,636,379,-5.82868375173131e-05,321,"not_key",NA
"117___",248,248,NA,14,4.08333995728126e-05,4.08333995728126e-05,248,246,126,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0666528723951457,136.7625,248,248,NA,14,7.00876145178076e-05,7.00876145178076e-05,248,246,126,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",136.7625,639,375,-2.9254214944995e-05,441,"not_key",NA
"118___",246,246,NA,13,5.61683605162156e-05,5.61683605162156e-05,246,242,125,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0594071538885539,135.73125,246,246,NA,13,7.00876145178076e-05,7.00876145178076e-05,246,242,125,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",135.73125,639,374,-1.3919254001592e-05,545,"not_key",NA
"119___",242,242,NA,12,1.77835325540044e-05,1.77835325540044e-05,242,238,123,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0570952946565334,134.465625,242,242,NA,12,6.95484790215168e-05,6.95484790215168e-05,242,238,123,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",134.465625,643,372,-5.17649464675124e-05,341,"not_key",NA
"12___",24,24,NA,5,1.0977840110273e-05,1.0977840110273e-05,24,22,14,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0362794758594795,24.6375,24,24,NA,5,1.33549516584892e-05,1.33549516584892e-05,24,22,14,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",24.6375,936,80,-2.3771115482162e-06,664,"not_key",NA
"120___",238,238,NA,11,7.83772559488348e-06,7.83772559488348e-06,238,224,121,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0526591419698293,132.8328125,238,238,NA,11,1.5974032284094e-05,1.5974032284094e-05,238,224,121,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",132.8328125,923,93,-8.13630668921052e-06,591,"not_key",NA
"121___",224,224,NA,10,1.46714486678742e-05,1.46714486678742e-05,224,212,114,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0438416013204369,129.29765625,224,224,NA,10,1.50437641810269e-05,1.50437641810269e-05,224,212,114,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",129.29765625,928,87,-3.72315513152701e-07,684,"not_key",NA
"122___",212,212,NA,9,4.10007849813983e-06,4.10007849813983e-06,212,208,108,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.040090029494639,123.983203125,212,212,NA,9,9.8812046697237e-06,9.8812046697237e-06,212,208,108,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",123.983203125,960,56,-5.78112617158387e-06,618,"not_key",NA
"123___",208,208,NA,8,1.414163253873e-06,1.414163253873e-06,208,207,106,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0387932417908374,120.0916015625,208,208,NA,8,9.85965351450075e-06,9.85965351450075e-06,208,207,106,132,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",120.0916015625,961,54,-8.44549026062775e-06,585,"not_key",NA
"124___",267,267,NA,12,0.000332848861050023,0.000332848861050023,267,265,135,136,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0597008101559033,145.2,267,267,NA,12,0.000311769043889558,0.000311769043889558,267,265,135,136,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",145.2,318,694,2.1079817160465e-05,734,"not_key",NA
"125___",265,265,NA,11,0.000388798479617667,0.000388798479617667,265,263,134,136,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0457040648896673,144.45,265,265,NA,11,0.000251147285355477,0.000251147285355477,265,263,134,136,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",144.45,364,647,0.00013765119426219,830,"not_key",NA
"126___",263,263,NA,10,4.57376558379916e-05,4.57376558379916e-05,263,262,133,136,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0436916080327957,143.575,263,263,NA,10,0.000205484142563572,0.000205484142563572,263,262,133,136,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",143.575,402,610,-0.00015974648672558,189,"not_key",NA
"127___",278,278,NA,15,6.90966030251847e-05,6.90966030251847e-05,278,276,140,141,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0760032303754504,150.2,278,278,NA,15,0.000282540696024912,0.000282540696024912,278,276,140,141,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",150.2,337,672,-0.000213444092999727,147,"not_key",NA
"128___",276,276,NA,14,0.000241195736260507,0.000241195736260507,276,275,139,141,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0682849668151142,149.45,276,276,NA,14,0.000282540696024912,0.000282540696024912,276,275,139,141,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",149.45,337,671,-4.1344959764405e-05,385,"not_key",NA
"129___",285,285,NA,16,0.000291436113134014,0.000291436113134014,285,283,144,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0751475621661553,154.2,285,285,NA,16,0.000502294570710955,0.000502294570710955,285,283,144,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",154.2,232,776,-0.000210858457576941,151,"not_key",NA
"13___",22,22,NA,4,5.64684614393674e-06,5.64684614393674e-06,22,12,13,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0323831520201632,23.66875,22,22,NA,4,1.31033366272423e-05,1.31033366272423e-05,22,12,13,18,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",23.66875,939,77,-7.45649048330556e-06,602,"not_key",NA
"130___",283,283,NA,15,3.90145970157789e-05,3.90145970157789e-05,283,281,143,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.072026394404893,153.45,283,283,NA,15,0.000113016278409965,0.000113016278409965,283,281,143,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",153.45,509,504,-7.40016813941861e-05,279,"not_key",NA
"131___",281,281,NA,14,4.15714176642089e-05,4.15714176642089e-05,281,275,142,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0682849668151142,152.575,281,281,NA,14,0.000100458914142191,0.000100458914142191,281,275,142,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",152.575,548,466,-5.88874964779821e-05,317,"not_key",NA
"132___",275,275,NA,13,0.000127865799638041,0.000127865799638041,275,273,139,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0535803998567395,151.0125,275,275,NA,13,7.86200197634538e-05,7.86200197634538e-05,275,273,139,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",151.0125,609,405,4.92457798745872e-05,772,"not_key",NA
"133___",273,273,NA,12,3.95402548707369e-05,3.95402548707369e-05,273,271,138,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0489146497819925,149.35625,273,273,NA,12,7.66212057016711e-05,7.66212057016711e-05,273,271,138,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",149.35625,620,394,-3.70809508309342e-05,401,"not_key",NA
"134___",271,271,NA,11,1.79423629652639e-06,1.79423629652639e-06,271,270,137,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0484947984886053,148.028125,271,271,NA,11,3.86380439008427e-05,3.86380439008427e-05,271,270,137,145,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",148.028125,790,226,-3.68438076043163e-05,405,"not_key",NA
"135___",292,292,NA,14,4.26478684085143e-05,4.26478684085143e-05,292,291,147,148,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0958532130480664,157.2,292,292,NA,14,4.3467799388448e-05,4.3467799388448e-05,292,291,147,148,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",157.2,760,254,-8.19930979933702e-07,679,"not_key",NA
"136___",295,295,NA,14,4.44358467450314e-05,4.44358467450314e-05,295,291,149,150,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0958532130480664,159.2,295,295,NA,14,6.55166831362115e-05,6.55166831362115e-05,295,291,149,150,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",159.2,658,352,-2.10808363911801e-05,499,"not_key",NA
"137___",291,291,NA,13,5.23870671551124e-05,5.23870671551124e-05,291,289,147,150,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0789845774241202,158.2,291,291,NA,13,2.80785784869478e-05,2.80785784869478e-05,291,289,147,150,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",158.2,847,169,2.43084886681646e-05,738,"not_key",NA
"138___",289,289,NA,12,7.41846353787992e-05,7.41846353787992e-05,289,288,146,150,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_RW1",0.0525748472292677,156.95,289,289,NA,12,2.53969164966213e-05,2.53969164966213e-05,289,288,146,150,NA,"acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1",156.95,864,152,4.87877188821779e-05,770,"not_key",NA
