ELEMENT,Axis_0,Axis_1,CANAPE_CODE,MIXED,NEO,PALAEO
-1125000:-3725000,-1125000,-3725000,3,1,0,0
-1125000:-3775000,-1125000,-3775000,3,1,0,0
-1125000:-3825000,-1125000,-3825000,3,1,0,0
-1175000:-2175000,-1175000,-2175000,0,0,0,0
-1175000:-2225000,-1175000,-2225000,0,0,0,0
-1175000:-2275000,-1175000,-2275000,0,0,0,0
-1175000:-2325000,-1175000,-2325000,0,0,0,0
-1175000:-2375000,-1175000,-2375000,3,1,0,0
-1175000:-2425000,-1175000,-2425000,3,1,0,0
-1175000:-2475000,-1175000,-2475000,0,0,0,0
-1175000:-2525000,-1175000,-2525000,0,0,0,0
-1175000:-2575000,-1175000,-2575000,0,0,0,0
-1175000:-2625000,-1175000,-2625000,0,0,0,0
-1175000:-2675000,-1175000,-2675000,0,0,0,0
-1175000:-2725000,-1175000,-2725000,0,0,0,0
-1175000:-2775000,-1175000,-2775000,0,0,0,0
-1175000:-2825000,-1175000,-2825000,0,0,0,0
-1175000:-2875000,-1175000,-2875000,0,0,0,0
-1175000:-2925000,-1175000,-2925000,0,0,0,0
-1175000:-2975000,-1175000,-2975000,0,0,0,0
-1175000:-3025000,-1175000,-3025000,0,0,0,0
-1175000:-3075000,-1175000,-3075000,0,0,0,0
-1175000:-3125000,-1175000,-3125000,0,0,0,0
-1175000:-3175000,-1175000,-3175000,0,0,0,0
-1175000:-3225000,-1175000,-3225000,0,0,0,0
-1175000:-3275000,-1175000,-3275000,2,0,0,1
-1175000:-3325000,-1175000,-3325000,0,0,0,0
-1175000:-3375000,-1175000,-3375000,3,1,0,0
-1175000:-3425000,-1175000,-3425000,0,0,0,0
-1175000:-3475000,-1175000,-3475000,3,1,0,0
-1175000:-3525000,-1175000,-3525000,0,0,0,0
-1175000:-3575000,-1175000,-3575000,3,1,0,0
-1175000:-3625000,-1175000,-3625000,3,1,0,0
-1175000:-3675000,-1175000,-3675000,2,0,0,1
-1175000:-3725000,-1175000,-3725000,3,1,0,0
-1175000:-3775000,-1175000,-3775000,3,1,0,0
-1175000:-3825000,-1175000,-3825000,3,1,0,0
-1225000:-2175000,-1225000,-2175000,0,0,0,0
-1225000:-2225000,-1225000,-2225000,0,0,0,0
-1225000:-2275000,-1225000,-2275000,0,0,0,0
-1225000:-2325000,-1225000,-2325000,0,0,0,0
-1225000:-2375000,-1225000,-2375000,3,1,0,0
-1225000:-2425000,-1225000,-2425000,0,0,0,0
-1225000:-2475000,-1225000,-2475000,0,0,0,0
-1225000:-2525000,-1225000,-2525000,0,0,0,0
