ELEMENT,Axis_0,COLOUR,DEPTH,LENGTH,LENGTHTOPARENT,NAME,NODE_NUMBER,PARENTNODE,TERMINAL_NODE_FIRST,TERMINAL_NODE_LAST,TOTAL_LENGTH,TREENAME,_y
106,106,,15,1.32376314389417e-005,1.32376314389417e-005,ligulata,106,104,54,54,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,63.7
107,107,,14,0.000180826045455944,0.000180826045455944,42___,107,103,55,56,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,65.2
108,108,,15,0.000180826045455944,0.000180826045455944,rostellifera,108,107,55,55,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,64.7
109,109,,15,0.00100458914142191,0.00100458914142191,xanthina,109,107,56,56,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,65.7
11,11,,7,0.000347742395107584,0.000347742395107584,marramamba,11,9,7,7,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,16.7
110,110,,6,1.70913086442291e-005,1.70913086442291e-005,84___,110,64,57,91,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,74.6140625
111,111,,7,3.28774628101716e-005,3.28774628101716e-005,59___,111,110,57,66,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,69.153125
112,112,,8,0.000205484142563572,0.000205484142563572,52___,112,111,57,59,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,67.45
113,113,,9,0.000376720928033216,0.000376720928033216,spathulifolia,113,112,57,57,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,66.7
114,114,,9,0.00025832292207992,0.00025832292207992,51___,114,112,58,59,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,68.2
115,115,,10,0.000475858014357747,0.000475858014357747,scirpifolia,115,114,58,58,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,67.7
116,116,,10,0.000301376742426573,0.000301376742426573,blakelyi,116,114,59,59,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,68.7
117,117,,8,3.91398366787757e-005,3.91398366787757e-005,58___,117,111,60,66,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,70.85625
118,118,,9,0.00452065113639859,0.00452065113639859,porcata,118,117,60,60,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,69.7
119,119,,9,3.94816693135248e-005,3.94816693135248e-005,57___,119,117,61,66,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,72.0125
12,12,,3,1.14591917272461e-005,1.14591917272461e-005,14___,12,2,8,18,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,21.496875
120,120,,10,0.00904130227279718,0.00904130227279718,hypermeces,120,119,61,61,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,70.7
121,121,,10,3.94816693135248e-005,3.94816693135248e-005,56___,121,119,62,66,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,73.325
122,122,,11,7.53441856066432e-005,7.53441856066432e-005,53___,122,121,62,63,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,72.2
123,123,,12,0.00150688371213286,0.00150688371213286,anasilla,123,122,62,62,,acacia_tree_TRIMMED1__lca1__noknuckles1_EQ1_RW1,71.7
